id,node,text,translation
line:06cd813,Start,"In the kingdom of Wyverngarde,[p/] there was a gulf between what was lawful and what was just.",在维文加德王国，[p/]法律的规定与正义的真谛之间，存在着一条鸿沟。
line:0918dd0,Start,Artificery ran in the houses of the aristocrats.[p/] Disease and vermin ran through the homes of the commonfolk.,奥术能源充盈着贵族府邸。[p/]疾病与害虫在百姓家中肆虐。
line:00f73df,Start,"People suffered,[p/] people died,[p/] all so the mages of the nobility could keep their plates full and their lives comfortable.",平民们受苦，[p/]平民们死去，[p/]这都仅仅为了让那些贵族法师们吃饱穿暖，生活无忧。
line:01ba2b4,Start,"Nevertheless,[p/] they still wanted us to have the illusion of hope.",尽管如此，[p/]他们仍然想让我们保有一丝希望的假象。
line:081064e,Start,"They challenged us to win,[p/] leaving out the fact that they were the ones setting the rules.",他们鼓动我们去争取胜利，[p/]却对规则本身就是他们一手制定的事实避而不谈。
line:05c6b73,Start,"Many just threw up their hands,[p/] and no one could blame them.",许多人干脆举手投降了，[p/]这也无从指摘。
line:0121235,Start,You could never lose if you never played.,毕竟你只要不搅和进去，才永远不会输掉。
line:0702bdb,Start,Rhys: I was transporting a client in my carriage that evening.,Rhys: 那晚，我正载着一位客人。
line:08a1199,Start,Rhys: We were driving by the McCoy Tavern when we heard a disturbance.,Rhys: 我们路过麦考伊的酒馆时，[p/]听到了一些吵闹声。
line:0a002df,Start,"Rhys: Worried that something was amiss,[p/] I walked into the establishment to see what the commotion was about.",Rhys: 由于担心会出什么事，[p/]我走进了酒馆一探究竟。
line:0034cf6,Start,"Rhys: That was when I saw the defendant,[p/] lit by the blue glow of the dining room lights![p/] She had stabbed Flinhart,[p/][s/] and her sword was shining with magical energy!",Rhys: 就在那时我看见了被告。[p/]餐厅里蔚蓝的微光照亮了她的身影。她当时正刺向弗林哈特，[p/][s/]而且她的剑上闪耀着魔法的光芒！
line:0791990,Start,"Tyrion: Mr. Rudolf,[p/] you testified that you saw my client murdering the victim,[p/] and you supposedly saw her casting magic while doing so.",Tyrion: 鲁道夫先生，[p/]你作证看到我的委托人在杀害被害者。[p/]而且据你所说还看到她同时在施放法术。
line:0f396cc,Start,Rhys: Yes...[p/] I could never forget it.[p/] It was burned into my memory.,Rhys: 是的……[p/]我不可能记错。[p/]那深深地烙印在我的记忆中。
line:0dbdbe5,Start,Tyrion: I see...[p/] It’s funny that you say that.,
line:04afd67,Start,Rhys: ...What?,Rhys:……什么意思？
line:064042b,Start,Tyrion: Because your entire testimony was a complete lie!,Tyrion: 因为你所有的证言都是彻头彻尾的谎话！
line:0a0165b,Start,Rhys: W-[p/][s/]What?!,Rhys: 什、[p/][s/]什么？！
line:04df7ab,Start,"AriaC: What are you trying to imply, Mr. Cuthbert?",AriaC: 你想暗示什么呢，卡斯伯特先生？
line:09fb479,Start,"Tyrion: Steelwind,[p/] think about the state of the crime scene!",Tyrion: 斯蒂尔文德，[p/]仔细想想犯罪现场的情况！
line:09c3b09,Start,"Tyrion: The witness couldn’t have seen [i]anything[/i],[p/] much less a homicide!",
line:0808531,Start,Maybe their rules and institutions [i]were[/i] impossible.,
line:05cef68,Start,Maybe I was just a grain of sand trying to stand against an ocean.,也许我只是一粒沙子，却妄图与整片海洋抗衡。
line:0c3244b,Start,But I would never stop rising—[p/]no matter how many times they tried to drown me.,但不论他们多少次想要将我淹没[p/]，我永远不会放弃冲出水面。
line:0817a67,Start,I would do it again and again if it I meant that I could give hope to even one person.,哪怕仅仅能为一人带来希望，我都会一次又一次地尝试。
line:018aa46,Start,[i]That[/i] was why I fought.,
line:09a3e8f,Carriage,Sweat was soaking through my suit.[p/] The air of the countryside was choking me.,汗水已经浸透了我的衬衫。[p/]乡村的气息让我窒息。
line:0f6d1d6,Carriage,"I fumbled with the leather reins,[p/] tugging at them tightly.",我笨拙地摆弄着皮缰绳，[p/]把它拉拽得绷紧了。
line:06df60b,Carriage,Horse: Where'd this idiot learn how to drive!?,Horse: 这傻子到底在哪学的驾车？
line:0f18410,Carriage,"Animals were funny like that.[p/] You'd never know it,[p/] but they were constantly making their objections known.",动物们总是这么有趣。[p/]你只是从来没法知晓，[p/]但它们其实一直在表达反对意见。
line:0d7daaf,Carriage,I'd caught many complaints like that through my Eye of Horus.,我通过我的荷鲁斯之眼收到了很多类似的抱怨。
line:06c66f6,Carriage,"Ruby: Cuthbert, keep the carriage steady.",Ruby: 卡斯伯特，把车开稳一点。
line:022f5ae,Carriage,"Tyrion: Y-[p/][s/]Yes, Ms. Tymora.",Tyrion: 好、[p/][s/]好的，泰摩拉女士。
line:081c2ff,Carriage,My mentor barely looked up from her Runestone.[p/] She was staring at some magical projections—[p/]probably some court files from a case she was working on.,我的导师几乎就没从她的符石上抬起过视线。[p/]她一直盯着某些法术投影——[p/]大概是她正经手案件的一些法庭记录。
line:01e105d,Carriage,"I stared longer than I should have.[p/] I'd just passed the legal certification exam,[p/] which only meant that a Runestone of my own was coming my way.",我盯着看了太久。[p/]我前不久通过了司法资格考试，[p/]这意味着属于我的符石也快到手了。
line:06cdbbf,Carriage,"I just had to prove myself,[p/] and this trip was the perfect opportunity.",我需要证明自己，[p/] 而这次出差正是完美的机会。
line:0d27cd8,Carriage,"Dissidence was brewing in the countryside,[p/] and we were on our way to meet with one of the voices of the revolution.",不满的情绪在乡村不停地酝酿，[p/]而我们正要去会见其中一位革命领袖。
line:0b46b82,Carriage,"The village we were driving to was nearly at the edge of the eastern border,[p/] far from the capital city in the kingdom's center.",我们驶向的村庄已经接近东部边境，[p/]与王国中心的首都距离遥远。
line:020826a,Carriage,"Here,[p/] we ran the risk of running into the military forces deployed to silence voices like his.",在这里，[p/]我们得冒着与那些想让他闭嘴的军队撞个正着的风险。
line:01c967d,Carriage,"Whoever this ""Flinhart McCoy"" was,[p/] Ms. Tymora’s business with him must've been worth all this trouble.",不管这个“弗林哈特·麦考伊”是什么人，[p/]泰摩拉女士与他的生意一定值得这些付出。
line:0a8ecd9,Carriage,"Tyrion: M-[p/][s/]Ms. Tymora,[p/] maybe you should switch with me.",Tyrion: 泰、[p/][s/]泰摩拉女士，[p/]可能您得跟我换下手。
line:018de93,Carriage,Ruby: And what would you learn if I did that?,Ruby: 这样的话你又学得到什么呢？
line:065ea94,Carriage,...Maybe I [i]was[/i] worried about nothing.[p/] Practical experience was always a key part of learning whenever she was involved.,
